common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
False Acacia,Housing,15,11,Over Mature,Fair,1431,361.3
Maple - Field,Parks,16,9,Mature,Good,717.3,371.2
Cherry - Rosebud,Highways,5,1,Juvenile,Fair,2.7,3.5
Birch - Silver,Highways,8,4,Middle aged,Fair,137.7,41.6
Golden Rain Tree,Highways,5,3,Juvenile,Good,1.4,12.7
Lime - Common,Education,14,5,Mature,Fair,240.4,164.9
Plum,Housing,5,6,Middle aged,Fair,62.1,81
Buckeye - Yellow,Parks,3,0,Juvenile,Good,0.7,41.4
Maple - Boxelder,Highways,8,6,Middle aged,Good,200.3,109.5
London plane,Highways,11,7,Middle aged,Fair,199.6,225.4
Ash,Highways,14,8,Middle aged,Good,82,252.4
London plane,Housing,21,7,Mature,Not applicable,344.3,230.9
Hawthorn,Housing,5,2,Middle aged,Fair,9.9,14.4
London plane,Highways,22,14,Mature,Fair,902.9,823.5
London plane,Highways,14,9,Mature,Good,834.2,401.1
Ash - Narrow-leafed,Highways,18,7,Mature,Fair,176.5,161.4
Maidenhair tree,Highways,5,2,Middle aged,Good,5.5,11.2
Holly,Parks,5,3,Middle aged,Good,40.1,20.6
False Acacia,Housing,15,7,Mature,Good,332.6,258.6
Apple - Crab,Highways,3,1.5,Juvenile,Good,1.4,6.1
London plane,Housing,17,12,Mature,Fair,645.9,584
Lime - Caucasian,Highways,5,3,Middle aged,Fair,14.1,31.7
Cherry - Sargent's,Highways,4,2,Juvenile,Good,2.7,9.9
Sycamore,Housing,15,6,Mature,Good,224.7,246.5
Maple - Norway,Highways,18,10,Mature,Good,835.8,406.8
Ash,Parks,11,10,Mature,Good,331.3,319.5
Ash,Parks,21,8,Mature,Fair,1255.7,245.4
Lime - Caucasian,Highways,8,5,Middle aged,Good,79.4,85.3
Rowan,Highways,7,4,Middle aged,Fair,86.1,44.5
Maple - Field,Highways,7,4,Juvenile,Fair,16.2,33.1
Elder,Housing,7,4,Mature,Good,13.2,54.5
Maple - Norway,Highways,6,2,Juvenile,Good,3.4,4.5
Maple - Field,Highways,12,8,Mature,Good,179.5,178.3
Cherry - Rosebud,Housing,5,5,Mature,Poor,215.6,44.5
Apple,Highways,3,2,Juvenile,Dead,2.4,10.7
Cherry,Highways,6,2,Middle aged,Good,6.2,12.6
Ash,Highways,9,5,Mature,Fair,200.8,82.5
False Acacia,Housing,15,7,Mature,Good,551.6,258.6
Red Robin,Highways,2,2,Juvenile,Good,1.7,8.6
Holly,Parks,6,4,Middle aged,Good,36.4,47.5
Sycamore,Parks,17,9,Mature,Good,565.5,301.2
"Cherry - Wild, Gean",Parks,6,7,Mature,Poor,112.8,101.5
Sycamore,Education,12,5,Mature,Fair,229.8,127.1
Rowan - Yellow berried,Highways,4,1,Juvenile,Fair,2.4,3.5
Holly,Parks,12,6,Mature,Good,143.8,88.5
Maple - Norway,Housing,15,9,Mature,Good,478.4,416.8
Laurel - Cherry,Education,7,9,Mature,Fair,86.9,217
London plane,Education,20,12,Mature,Fair,4223.5,442
Birch - Silver,Housing,14,7,Mature,Fair,215.6,216.9
Cherry - Japanese,Housing,5,3,Middle aged,Good,8.6,25.2
Ash,Housing,16,10,Mature,Fair,285.5,339.7
Apple - Crab,Highways,4,3,Juvenile,Good,2.4,3.8
Lime - Large-leaved,Highways,12,5,Mature,Fair,531.6,142.9
"Cherry - Wild, Gean",Housing,11,8,Mature,Good,233.5,214.9
"Cherry - Wild, Gean",Highways,5,2,Middle aged,Good,23.1,31.7
Birch - Himalayan,Parks,3,1,Juvenile,Dead,1.5,3.3
Cherry - Ornamental,Highways,7,5,Middle aged,Good,80.3,67.7
Lime - Common,Parks,14,8,Mature,Fair,254.8,347.7
London plane,Education,14,6,Mature,Fair,419.5,250.7
Lime - Small-leaved,Highways,12,3,Mature,Fair,625.5,40.2
June Berry,Parks,6,3,Middle aged,Fair,13,21.5
Maple - Norway,Housing,6,4,Middle aged,Fair,43.7,43.8
Ash,Highways,11,7,Middle aged,Fair,143.9,171.3
Lime - Common,Housing,17,7,Mature,Good,200.1,220.8
London plane,Parks,19,17,Mature,Good,4140.6,1108.9
Red Robin,Highways,2,1.5,Juvenile,Good,1.6,5.7
Birch - Silver,Housing,10,3,Middle aged,Good,53.4,29.6
Elm - English,Parks,10,7,Mature,Fair,181.2,180.2
Ash - Yellow,Highways,7,5,Middle aged,Fair,73.5,65.7
Maple - Norway,Housing,17,12,Mature,Good,704,559.6
London plane,Highways,15,9,Mature,Fair,1799.2,428
Lime - Common,Parks,15,9,Mature,Good,755.4,366.7
Birch - Cut-leaved,Housing,4,2,Juvenile,Good,1.5,3.3
Ash,Housing,15,10,Mature,Good,350.4,379.1
Lime - Common,Parks,14,9,Mature,Fair,301,390.6
London plane,Parks,30,21,Mature,Good,5232.4,2512.1
Hawthorn,Highways,5,4,Middle aged,Good,16,25.6
Willow - Crack,Housing,13,15,Middle aged,Good,1370.6,584.4
"Cherry - Wild, Gean",Housing,10,6,Mature,Good,233.5,119.3
Willow - Crack,Housing,18,7,Mature,Good,850.2,170.1
Maple - Norway,Housing,8,3,Middle aged,Good,35.5,40.2
Lime - Common,Housing,17,8,Middle aged,Good,175.5,276.7
Cherry - Double pint,Education,6,2,Juvenile,Good,11.5,12.6
Sweet Gum,Highways,4,2,Juvenile,Good,1.4,9.3
London plane,Highways,14,12,Mature,Good,2404.7,466.2
Maidenhair tree,Highways,9,5,Middle aged,Good,69.3,76.4
Sweet Chestnut,Parks,6,4,Middle aged,Good,19.7,25.2
Hawthorn,Highways,5,3,Middle aged,Good,7.7,29.7
Lime - Common,Housing,15,7,Mature,Fair,240.4,331.2
Maple - Norway,Highways,12,6,Mature,Fair,373.5,190.5
Hawthorn - Cockspur thorn,Housing,7,6,Mature,Good,225.2,89.8
Oak - Red,Highways,17,10,Mature,Fair,485.5,310.1
Maple - Norway,Parks,15,8,Mature,Good,567.3,252.3
Apple,Education,2.5,3,Middle aged,Fair,12.2,19.7
"Cherry - Wild, Gean",Parks,7,6,Middle aged,Good,46.6,97.2
Maidenhair tree,Housing,3,1.5,Juvenile,Good,2.4,5.9
Ash,Housing,16,12,Mature,Fair,412.7,473.4
Ash - Manna,Highways,4,1,Juvenile,Good,11.7,3.3
Apple - Crab,Highways,3,1,Juvenile,Good,2.4,3.8
Tree of Heaven,Highways,10,11,Middle aged,Good,409.7,242.2
Paper birch,Highways,8,4,Middle aged,Good,45.2,11.8
Hawthorn - Common,Housing,7,9,Mature,Fair,357.6,217.1
Birch - Silver,Housing,10,4,Middle aged,Good,46,41.6
London plane,Highways,20,15,Mature,Good,932.8,904.4
Rowan,Highways,5,2,Juvenile,Good,1.4,9.2
Hawthorn - Common,Highways,8,2,Middle aged,Good,34.7,14.4
Maple - Norway,Highways,9,5,Middle aged,Good,189.9,96.1
Horse Chestnut,Parks,12,8,Middle aged,Good,201,242.2
Maple - Norway 'Goldsworth Purple',Highways,12,5,Middle aged,Fair,172.2,142.9
Whitebeam - Swedish,Housing,9,5,Middle aged,Good,154.3,76
Holly,Parks,11,4,Mature,Good,216.9,58.5
Whitebeam - Swedish,Highways,8,6,Mature,Fair,298.4,97.2
"Cherry - Wild, Gean",Housing,6,2,Middle aged,Good,6.2,12.6
London plane,Highways,7,3,Mature,Good,296.4,30.3
Lime - Common,Housing,15,12,Mature,Fair,226.5,458.9
Poplar - Lombardy,Education,18,4,Mature,Fair,2340.6,47.5
London plane,Highways,18,10,Middle aged,Fair,560.3,427.5
Birch - Silver,Housing,18,7,Mature,Good,233.7,161.4
Lime - Common,Housing,15,9,Mature,Fair,285.1,416.8
Bay tree,Parks,8,9,Middle aged,Good,47.2,229.1
Cherry - Sargent's,Highways,5,2,Middle aged,Good,8.6,5.7
Horsechestnut - Baumann's,Highways,7,7,Middle aged,Good,67.9,167
Birch - Silver,Housing,7,3,Middle aged,Good,33.1,29.6
Maple - Field,Highways,7,6,Middle aged,Good,111.9,99.5
Tupelo,Housing,3,1,Juvenile,Good,1.4,3.5
Cedar - Western Red,Corporate Landlord,9,4,Middle aged,Good,30.1,92.7
Yew - common,Housing,8,4,Middle aged,Good,119.8,70.9
Sycamore,Housing,4,0,Juvenile,Good,6.9,41.6
Horse Chestnut,Highways,9,5,Mature,Fair,533.6,96.1
Tree of Heaven,Parks,15,9,Mature,Fair,838.3,327.2
London plane,Highways,7,3,Middle aged,Fair,20.2,41.2
Ash,Housing,16,8,Mature,Fair,383.2,240.7
London plane,Highways,12,6,Middle aged,Fair,47.6,173.8
London plane,Education,15,6,Mature,Fair,1334.8,285.4
Maple - Boxelder,Highways,9,6,Mature,Good,176.3,121.3
London plane,Highways,14,10,Mature,Good,1425,434.6
Sycamore,Housing,18,10,Mature,Good,404.4,368.2
Apple - Crab,Highways,5,2,Juvenile,Good,5.5,13.7
London plane,Highways,19,8,Mature,Good,405.2,294.6
London plane,Parks,22,19,Mature,Good,3951.9,1424.7
Plum,Highways,8,4,Mature,Fair,80.3,50.8
Cherry - Double pint,Education,7,7,Mature,Good,233.5,122.4
Lime - American,Parks,17,11,Mature,Good,406.9,479.1
Beech - Purple,Highways,18,12,Mature,Good,1387.2,570.1
Birch - Silver,Housing,8,4,Middle aged,Fair,39.2,58.8
Pear - Chanticclere,Highways,7,3,Mature,Fair,138,17.6
Hornbeam,Housing,19,13,Mature,Fair,1661.5,514.9
Lime - Common,Highways,15,8,Mature,Fair,269.7,378.8
Beech - Common,Housing,17,11,Middle aged,Good,296.1,456.3
Apple,Housing,5,3,Middle aged,Good,7.5,27.3
Birch - Silver,Highways,7,4,Middle aged,Fair,89.7,36.9
Sweet Gum,Highways,5,2,Juvenile,Good,1,9.3
Maple,Highways,8,6,Mature,Fair,243.6,105.3
Willow,Parks,11,12,Mature,Fair,2312.1,346.4
Birch - Silver,Housing,3,1,Juvenile,Good,1.5,3.3
Horse Chestnut,Highways,9,9,Middle aged,Fair,480.7,288.8
London plane,Highways,23,18,Mature,Good,3951.9,1302.3
Lime - Large-leaved,Highways,16,6,Mature,Good,509.5,190.5
Maple - Norway,Housing,13,10,Mature,Fair,517.4,199.7
London plane,Parks,23,17,Mature,Good,2552.1,1172.1
Maple - Norway,Housing,15,9,Middle aged,Good,328.8,416.8
Ash - Yellow,Highways,5,3,Middle aged,Fair,25.6,27.3
Persian Ironwood,Housing,2,1,Juvenile,Good,1.4,3.2
Lime - Caucasian,Highways,8,2,Middle aged,Fair,103.7,15.9
Maple - Field,Highways,6,3,Middle aged,Good,30.3,14.2
Lime - Common,Highways,13,5,Mature,Fair,285.1,164.9
Maple - Norway,Highways,8,7,Middle aged,Fair,200.3,167
Red Robin,Highways,2,1,Juvenile,Good,1.5,3.2
Rowan - Yellow berried,Highways,3,3,Middle aged,Fair,3.7,21.9
Hawthorn - Cockspur,Housing,4,2,Juvenile,Good,5.4,15.4
Birch - Himalayan,Highways,6,4,Middle aged,Good,22.7,39.1
Alder - Italian,Parks,13,4,Mature,Fair,21.8,55.7
Maple - Norway,Housing,16,10,Mature,Fair,438.1,395.9
Lime - Common,Parks,8,6,Mature,Fair,163.9,122.3
Birch - Silver,Highways,6,4,Middle aged,Good,100.5,32.9
Peanut Butter Tree,Housing,2.5,1.5,Juvenile,Good,1.4,6.1
Birch - Silver,Housing,10,4,Middle aged,Good,18.3,11.8
Sweet Gum,Highways,7,4,Juvenile,Good,11.9,11.8
Cherry - Double pint,Housing,8,6,Mature,Fair,518.4,97.2
Rowan,Highways,8,3,Middle aged,Fair,40.4,31.7
Maidenhair tree,Housing,4,1,Juvenile,Good,1.4,3.2
London plane,Highways,22,15,Mature,Fair,1848.1,929
Alder - Italian,Housing,22,10,Mature,Good,1102.7,341.1
Cherry - Rosebud,Highways,3,2,Juvenile,Good,1.6,3.5
Plane - Oriental,Highways,13,7,Mature,Fair,491.8,275.3
Horse Chestnut,Highways,18,11,Mature,Fair,1351.7,483.5
Birch - Silver,Highways,8,5,Middle aged,Fair,137.7,51.6
Zelkova - Caucasian,Housing,11,5,Middle aged,Good,106.8,43.1
London plane,Parks,18,12,Mature,Good,1995.1,594.5
London plane,Highways,21,14,Mature,Good,3045,809.2
Sycamore,Housing,21,12,Mature,Good,419.2,530.3
Hawthorn,Highways,5,4,Middle aged,Good,28.4,42.4
Lime - Common,Parks,3,3,Middle aged,Fair,20.2,25.7
Maidenhair tree,Highways,10,2,Middle aged,Fair,35.5,11.2
Apple - Crab,Highways,3,1,Juvenile,Good,0.7,3.8
Sycamore,Housing,15,11,Mature,Fair,1237.9,407.9
Hawthorn - Common,Housing,6,5,Middle aged,Fair,19.9,81.7
"Cherry - Wild, Gean",Housing,14,8,Middle aged,Fair,138.3,272.7
Pear,Housing,6,2,Middle aged,Good,33.9,10.7
Maple - Field,Highways,4,3,Juvenile,Good,1.9,10.4
Cedar - Western Red,Parks,6,2,Middle aged,Good,2.9,20
Sweet Gum,Housing,6,3,Middle aged,Good,4,3.3
Tree of Heaven,Education,15,4,Middle aged,Good,421.9,68
Sycamore,Housing,1,14,Mature,Fair,1465.9,707.5
Maple - Norway,Housing,14,5,Middle aged,Good,188.8,164.9
Pine - Scots,Housing,7,5,Juvenile,Good,33.4,72.8
June Berry,Parks,6,1,Middle aged,Good,7.7,2.6
Alder - Italian,Highways,24,9,Mature,Good,1336.9,282.2
Willow - Crack,Housing,5,4,Mature,Fair,112.6,29.3
Maple - Field,Highways,9,5,Middle aged,Fair,106.4,85.9
"Rowan, Mountain Ash",Education,4,1,Juvenile,Good,1.4,3.5
Willow - Goat,Housing,4,6,Mature,Good,33,83.1
London plane,Highways,20,7,Mature,Good,1247.9,225.5
Lime - Common,Parks,25,7,Mature,Good,446.3,220.8
London plane,Highways,13,13,Mature,Good,3517.8,469.4
London plane,Highways,15,8,Mature,Good,148.1,470.7
False Acacia,Housing,15,8,Middle aged,Good,551.6,296.5
Persian Ironwood,Housing,2,1.5,Juvenile,Dead,1.4,5.7
London plane,Housing,31,16,Mature,Good,4681.7,1112.9
Cherry,Parks,6,2,Middle aged,Fair,46.6,12.6
Lime - Common,Highways,22,12,Mature,Good,728.3,596.4
London plane,Highways,12,6,Middle aged,Fair,236.4,250.7
Maple - Norway,Highways,8,6,Middle aged,Fair,104.2,122.3
Whitebeam,Highways,6,5,Middle aged,Good,84.5,55
Maple - Norway,Housing,17,16,Mature,Good,892.5,938.9
False Acacia,Parks,14,6,Mature,Fair,188.6,190.5
Lime - Common,Highways,21,11,Mature,Fair,625.5,501.1
London plane,Highways,12,5,Mature,Good,1096.4,146.8
Elder,Housing,6,6,Mature,Fair,334.2,81
Pear - Chanticclere,Highways,8,3,Middle aged,Fair,60.7,26.8
Mountain-ash,Highways,7,3,Middle aged,Fair,20.2,31.7
London plane,Highways,6,4,Middle aged,Good,2.4,4.7
Maple - Norway,Highways,8,5,Middle aged,Fair,114.3,85.3
Maple - Norway,Housing,11,8,Middle aged,Good,310.4,272.4
Maple - Boxelder,Highways,7,5,Middle aged,Fair,182.9,68.3
Maple - Silver,Housing,3,1,Juvenile,Poor,1.9,3.5
Plum,Highways,7,3,Mature,Fair,182.2,23.5
Lime - Common,Parks,9,3,Mature,Good,509.5,40.2
Alder - Common,Parks,15,4,Middle aged,Fair,110.5,31.7
"Cherry - Wild, Gean",Housing,19,15,Mature,Fair,1120.6,669.1
Lime - Common,Highways,16,7,Mature,Fair,334.3,220.8
Ash,Highways,14,8,Middle aged,Fair,232.1,296.9
Oak - Red,Education,18,14,Mature,Good,315.3,518.3
False Acacia,Housing,19,11,Mature,Fair,709.1,373.1
Larch - European,Housing,2,1,Juvenile,Dead,0.9,5.1
Pear - Chanticclere,Housing,4,2,Middle aged,Good,9.8,9.9
Sycamore,Housing,13,6,Middle aged,Fair,70.3,135
"Cherry - Wild, Gean",Housing,16,9,Mature,Fair,1167.4,252.7
Whitebeam - Swedish,Housing,8,5,Mature,Fair,296.4,60.8
Birch - Silver,Housing,20,10,Mature,Good,961,311.2
Red Robin,Highways,3,2,Juvenile,Fair,2.8,9.9
Cherry - Bird,Highways,7,5,Middle aged,Fair,54,67.7
Birch - Silver,Housing,14,7,Mature,Fair,166.4,216.9
Ash - Narrow-leafed,Highways,18,7,Mature,Fair,176.5,161.4
Lime - Caucasian,Housing,15,8,Mature,Good,163.9,378.8
Plane - Oriental,Highways,16,8,Mature,Good,916,278.2
Alder - Italian,Highways,21,11,Mature,Fair,898.9,390.7
Plum,Highways,9,5,Mature,Good,138.3,76
Maple - Field,Education,3,2,Juvenile,Good,3,3.7
London plane,Highways,15,6,Mature,Good,1635.3,285.4
Plane - Oriental,Highways,15,9,Mature,Fair,670.3,428
Lime - Common,Parks,25,13,Mature,Fair,930.3,712.2
Maple - Japanese,Housing,1.5,0.5,Juvenile,Good,0.9,1
London plane,Education,15,6,Mature,Fair,609.3,285.4
Cherry - Double pint,Housing,6,6,Middle aged,Good,182.2,81
Whitebeam - Swedish,Highways,5,3,Mature,Fair,162.4,18.3
June Berry,Highways,4,2,Juvenile,Good,5.4,8.6
Birch - Silver,Highways,10,5,Mature,Fair,151.6,80.3
Laburnum,Housing,6,3,Mature,Good,45.6,23.5
Hawthorn,Highways,3,2,Juvenile,Fair,3.7,11.3
Pear - Chanticclere,Highways,5,2,Middle aged,Fair,12.5,3
Cherry - Rosebud,Highways,3,1,Juvenile,Dead,1.6,3.5
Lime - Small-leaved,Housing,15,10,Middle aged,Good,240.4,405.1
Beech - Common,Housing,4,2,Middle aged,Good,29.6,14.6
London plane,Highways,6,3,Middle aged,Fair,5.6,38
Caucasian wingnut,Parks,11,11,Mature,Good,486.3,327.1
Maple - Norway,Highways,8,7,Middle aged,Fair,119,199.7
Maple - Field,Education,2.5,2,Juvenile,Fair,3.1,10.4
London plane,Parks,22,21,Mature,Good,5871.2,1772.6
Horse Chestnut,Housing,13,11,Mature,Fair,1323.3,433.1
London plane,Housing,23,16,Mature,Good,5712,1038.3
Lime - Common,Parks,3,3,Mature,Fair,23.8,25.7
Lime - Common,Parks,22,15,Mature,Good,1670.2,890.8
Cherry - Rosebud,Highways,6,3,Juvenile,Fair,8.6,3.5
Red Robin,Highways,3,2,Juvenile,Good,2.8,9.9
Lime - Large-leaved,Highways,12,4,Mature,Fair,487.9,86.7
Wier maple,Housing,22,15,Mature,Good,1197.6,666.4
Cherry,Highways,4,2,Juvenile,Good,4.3,11.6
Japanese Pagoda,Parks,4,1,Juvenile,Good,5.4,2.7
Cherry - Japanese,Parks,6,4,Middle aged,Good,33.7,41.8
Hawthorn - Broad-leaved cockspur thorn,Housing,3,1.5,Juvenile,Good,1.4,5.7
Rowan,Highways,8,4,Middle aged,Fair,140.3,44.5
Ash - One-leaved,Highways,16,10,Mature,Good,265.8,379.1
Yew - common,Parks,6,5,Middle aged,Good,25.7,114.3
Birch - Silver,Highways,15,5,Middle aged,Fair,361.4,120
Hawthorn - Common,Highways,6,4,Middle aged,Fair,12.5,24.9
Hawthorn - Common,Highways,7,2,Middle aged,Fair,7.8,14.4
False Acacia,Education,15,6,Mature,Fair,443.7,190.5
Tree of Heaven,Parks,13,9,Middle aged,Fair,129.3,107.4
Lime - Common,Highways,12,5,Middle aged,Fair,254.8,142.9
Horse Chestnut,Parks,25,16,Mature,Good,5556.8,1022.9
London plane,Highways,20,16,Mature,Fair,2211.8,618.4
London plane,Highways,20,10,Mature,Good,1722.4,442
Oak - Red,Parks,18,8,Mature,Good,634.2,197.2
Cherry - Rosebud,Housing,3,1,Middle aged,Good,1.6,3.5
Horse chestnut - Red,Parks,8,7,Veteran,Poor,1608.4,219.6
"Cherry - Wild, Gean",Parks,18,12,Mature,Poor,579.1,444
London plane,Highways,23,15,Mature,Fair,1295.1,961.8
Maple - Field,Housing,5,3,Middle aged,Good,23.3,28.4
London plane,Highways,21,16,Mature,Good,2219,1302.3
Hawthorn - Common,Education,6,4,Middle aged,Fair,33.9,54.1
Almond,Parks,3,2,Juvenile,Fair,1.6,9.9
London plane,Housing,19,15,Mature,Good,1088.6,904.4
Maple - Field,Housing,7,5,Middle aged,Fair,133.4,68.3
Lime - Common,Housing,18,8,Mature,Good,254.8,281.4
"Cherry - Wild, Gean",Parks,7,8,Mature,Good,101.3,162
London plane,Highways,21,9,Mature,Good,756.3,381.7
Plum,Highways,6,3,Middle aged,Fair,80.3,23.5
Hornbeam,Highways,12,5,Middle aged,Good,120.7,111.9
Birch - Himalayan,Highways,14,6,Mature,Good,252.8,177.4
Horse Chestnut,Housing,9,5,Middle aged,Fair,141.5,96.1
Hawthorn,Parks,5,4,Mature,Fair,45.1,35.6
London plane,Highways,15,11,Mature,Good,1848.6,456.1
"Cherry - Wild, Gean",Highways,5,4,Juvenile,Good,23.1,41.8
London plane,Parks,8,10,Middle aged,Fair,5439.7,337.6
Birch - Silver,Housing,18,9,Mature,Good,438,249.1
Laurel - Cherry,Housing,8,7,Mature,Good,75.3,144.4
Holly,Housing,7,5,Mature,Fair,71.5,67.7
Maple - Norway,Housing,10,2,Middle aged,Fair,49.7,15.9
Cherry - Rosebud,Highways,5,3,Middle aged,Good,6.2,25.2
Poplar -Black,Parks,15,8,Over Mature,Fair,3403,243
Ash,Highways,15,9,Mature,Fair,796.6,356.1
Horse Chestnut,Parks,17,14,Mature,Good,1648.5,740.3
Sycamore,Housing,21,8,Mature,Fair,465.1,450
Hornbeam,Highways,9,8,Middle aged,Good,320.3,185.6
Birch - Silver,Education,4,2,Juvenile,Good,11.2,9.3
Rowan,Highways,8,4,Middle aged,Fair,180.5,44.5
Maple - Red,Highways,13,5,Middle aged,Good,164.6,146.6
Plum,Highways,7,6,Mature,Fair,112.8,88.5
Laurel - Cherry,Housing,4.5,4,Mature,Good,71.9,33.3
Cherry,Highways,4,5,Middle aged,Fair,23.1,57.8
Sycamore,Corporate Landlord,15,5,Mature,Fair,194.8,146.6
Lime,Parks,4,2,Juvenile,Fair,3.9,14.6
London plane,Highways,14,6,Mature,Good,489.1,195.6
Maple - Norway,Housing,14,9,Mature,Fair,999.9,390.6
Ash - Narrow-leafed,Housing,16,7,Mature,Fair,776.4,157.9
London plane,Housing,25,18,Mature,Good,2234.6,1314.1
Ash,Housing,12,7,Middle aged,Good,239.4,207.1
Lime - Common,Highways,10,3,Mature,Fair,240.4,40.2
Lime - Common,Parks,22,12,Mature,Good,1422.1,596.4
Lime - Common,Housing,17,5,Mature,Good,388,164.9
Wier maple,Housing,14,5,Mature,Good,185.1,109.8
Yew - common,Parks,12,8,Middle aged,Good,183,367.8
Willow - Weeping,Housing,14,9,Mature,Good,799,301.6
Hawthorn - Common,Highways,5,4,Middle aged,Fair,66.5,39.7
Poplar - Lombardy,Education,20,6,Mature,Fair,2278.1,106.8
London plane,Housing,18,14,Mature,Fair,1655,787.8
Ash,Highways,10,7,Mature,Fair,697.5,171.3
Maple - Silver,Highways,14,6,Middle aged,Fair,367.7,146.7
Sycamore,Housing,18,8,Middle aged,Good,362.3,254.3
Cypress,Housing,7,4,Juvenile,Good,27.8,86.4
Whitebeam,Highways,7,6,Mature,Fair,179.1,88.5
Alder - Red,Parks,15,4,Mature,Good,175.3,68
Ash,Highways,8,6,Mature,Good,407.1,105.3
"Oak - Evergreen, Holm",Parks,15,9,Mature,Good,657.8,202.3
Cherry - Double pint,Education,6,4,Middle aged,Good,28.1,47.5
Lime - Small-leaved,Highways,12,8,Mature,Fair,1126.4,294.9
Cherry,Highways,8,6,Middle aged,Good,39.8,47.5
"Cherry - Wild, Gean",Housing,12,8,Mature,Good,215.6,232.1
Cherry - Double pint,Housing,4,3,Juvenile,Fair,6.2,11.6
Birch - Silver,Highways,7,5,Middle aged,Fair,70.1,63.4
Alder - Common,Highways,9,4,Middle aged,Fair,96.6,50.8
Plane - Oriental,Highways,13,6,Mature,Good,830.2,221.1
Alder - Grey,Parks,6,3,Middle aged,Good,33.9,29.3
Maple - Field,Highways,6,3,Middle aged,Fair,7.2,28.4
Whitebeam - Swedish,Highways,6,2,Middle aged,Good,10.1,12.6
Maple - Norway,Highways,9,6,Middle aged,Fair,218.7,135.6
Horse Chestnut,Parks,15,10,Mature,Good,221.2,442.7
Sycamore,Parks,18,9,Mature,Fair,572.1,307.1
Elder,Parks,4,4,Mature,Good,51.1,31.6
Cherry,Highways,5,2,Juvenile,Good,6.2,3.5
Willow - Goat,Parks,7,9,Mature,Fair,225.2,188.1
"Cherry - Wild, Gean",Housing,9,8,Mature,Fair,383.6,185.6
Kapuka,Parks,5,5,Mature,Fair,21.6,64.1
Hawthorn - Common,Housing,5,6,Over Mature,Fair,176.2,66.8
London plane,Highways,16,8,Mature,Fair,597.9,912.6
London plane,Highways,21,14,Mature,Good,2604.1,809.2
Lime - Common,Parks,22,11,Mature,Fair,701.8,492.3
Whitebeam - Swedish,Housing,6,5,Mature,Fair,294.3,35.1
Maple - Caucasian,Housing,12,6,Middle aged,Fair,296.9,169.6
Ash,Parks,20,10,Middle aged,Good,412.7,339.7
Maple - Field,Highways,9,6,Middle aged,Good,68.7,121.3
Sycamore,Parks,20,10,Mature,Good,727.2,379.2
False Acacia,Housing,15,8,Mature,Good,497.3,296.5
Cherry - Rosebud,Education,5,2,Middle aged,Fair,4.3,9.9
London plane,Highways,15,12,Mature,Good,2282.2,470.7
Maple - Norway,Housing,15,8,Mature,Good,631.7,378.8
Maple - Norway,Highways,8,8,Mature,Fair,200.3,218
Sycamore,Education,15,9,Mature,Fair,389.2,371.2
Lime - Large-leaved,Highways,10,8,Middle aged,Fair,65.2,252.3
Lime - Common,Highways,16,7,Mature,Fair,285.1,331.2
June Berry,Highways,4,2,Juvenile,Good,3.7,8.6
Pear - Chanticclere,Highways,7,4,Mature,Fair,12.8,10.7
Hawthorn - Broad-leaved cockspur thorn,Highways,5,3,Mature,Fair,136.8,18.5
Plum,Highways,7,5,Middle aged,Good,46.6,67.7
London plane,Housing,20,14,Mature,Fair,1093.3,794.9
London plane,Highways,24,14,Mature,Good,2291.4,837.8
Lime - Common,Highways,17,6,Mature,Fair,675.8,162.2
Whitebeam - Swedish,Housing,5,3,Juvenile,Good,3.7,11.6
Horse Chestnut,Housing,10,6,Middle aged,Fair,213.8,151.2
Plane - Oriental,Highways,3,2,Juvenile,Good,1.4,12.8
Cypress - Lawson,Housing,8,7,Middle aged,Good,91,211.8
Tree of Heaven,Education,14,4,Middle aged,Good,90.7,68
Ash,Parks,12,10,Middle aged,Good,200.8,294.7
Lime - Common,Housing,17,7,Mature,Good,446.3,265
Rowan,Highways,6,5,Mature,Fair,377,55
London plane,Parks,23,15,Mature,Good,1478,929
Maple - Red,Highways,7,4,Middle aged,Good,13,12.6
London plane,Highways,15,10,Mature,Fair,3137.2,454.5
Cherry,Housing,6,2,Middle aged,Fair,28.1,12.6
Mountain-ash,Highways,4,3,Juvenile,Good,1.4,3.5
London plane,Parks,38,23,Mature,Good,5588.6,2299.8
June Berry,Highways,6,2,Middle aged,Good,13,9.2
Sycamore - Purple Leaved,Highways,13,9,Mature,Fair,301.3,327
Maple - Norway,Highways,10,8,Mature,Fair,383,252.3
Lime - Common,Parks,3,2,Middle aged,Fair,11.5,25.7
June berry,Highways,4,2.5,Juvenile,Fair,5.4,12.1
Wier maple,Education,16,8,Mature,Fair,763.6,205.9
Alder - Grey,Parks,6,3,Middle aged,Good,39.5,23.5
London plane,Highways,23,10,Mature,Fair,2665.6,442
"Cherry - Wild, Gean",Education,7,4,Middle aged,Fair,39.8,47.5
Wier maple,Parks,14,10,Mature,Fair,570.5,328.1
Lime - Small-leaved,Parks,8,5,Middle aged,Good,23.8,40.2
False Acacia,Highways,15,15,Over Mature,Fair,702.2,619.9
London plane,Housing,17,11,Mature,Good,997.8,499.6
Cherry - Rosebud,Highways,4,4,Juvenile,Good,8.6,37.1
