common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
Oak - Cork,Highways,3,1,Juvenile,Good,2.2,2.8
Maple - Field,Housing,5,3,Juvenile,Good,6.6,11.2
Hornbeam,Highways,12,5,Mature,Good,391.5,111.9
Cherry - Rosebud,Highways,4,2,Juvenile,Good,2.7,9.9
Pear - Chanticclere,Highways,6,3,Middle aged,Good,39.5,20
London plane,Housing,17,12,Mature,Good,997.8,584
Ash - One-leaved,Highways,15,6,Middle aged,Fair,134.5,236.2
Alder - Italian,Highways,19,7,Mature,Good,1154.2,258.6
Lime - Common,Highways,23,10,Over Mature,Good,993.3,450.6
Maple - Norway,Highways,10,6,Middle aged,Good,237.9,151.2
Indian Bean Tree,Housing,5,3,Middle aged,Good,28.4,17.8
Pear - Chanticclere,Highways,9,6,Middle aged,Fair,117.7,91.2
Wier maple,Housing,13,10,Middle aged,Good,393.5,314.4
Cherry - Bird,Education,5,3,Middle aged,Fair,33.7,25.2
Tamarisk,Parks,3,2,Juvenile,Fair,2.4,9.9
Ash,Education,16,12,Mature,Fair,181.1,395.5
London plane,Housing,20,18,Mature,Good,4363.6,1243.2
London plane,Housing,14,6,Mature,Good,253.8,250.7
Lime - Silver,Housing,14,8,Mature,Good,285.1,347.7
Holly,Parks,12,6,Mature,Fair,202.4,107.4
London plane,Highways,14,10,Mature,Good,834.2,434.6
Mountain-ash,Highways,4,1,Juvenile,Good,1.4,3.5
Lime - Large-leaved,Highways,10,7,Middle aged,Fair,122,199.7
Birch - Silver,Housing,16,8,Mature,Good,337.8,196.8
Maple - Field,Highways,6,1,Juvenile,Good,3.5,4
Sycamore,Housing,20,5,Mature,Fair,1178.2,101.2
Elder,Housing,6,7,Mature,Fair,52.3,122.4
Tulip Tree,Highways,5,2,Juvenile,Good,2.1,13.8
Maple - Norway,Parks,14,10,Mature,Good,343.6,423.3
Ash,Parks,5,6,Juvenile,Good,1.7,100.3
Tree of Heaven,Highways,15,10,Mature,Good,421.9,216.4
